,week_0,week_1,week_2,week_3
Ant-ticpating wins,1500,1476.6666666666667,1461.7250338335361,1457.0762511208918
Jrueish Space Laser,1500,1483.3333333333333,1495.6314075474775,1515.9130836941465
Rasta Murrays,1500,1510.0,1524.3685924525225,1529.0173751651669
ZuPacalypse Now,1500,1503.3333333333333,1521.7250338335361,1541.9532926287281
French Wembassy,1500,1523.3333333333333,1537.7019257858558,1517.4202496391867
Nico’s revenge,1500,1490.0,1482.2980742141442,1484.2505126420692
Trusting the Process,1500,1483.3333333333333,1468.9647408808107,1472.6285024413755
Teenage Mutant Ninja Poetls,1500,1490.0,1478.964740880811,1490.8679033575047
Good Night and Good Luka,1500,1523.3333333333333,1504.9416328331304,1502.9891944052054
dbyun89,1500,1476.6666666666667,1478.964740880811,1466.4789934556434
Kawhi-tly Planting Trees,1500,1516.6666666666667,1527.7019257858558,1540.1876732110234
Minotts Restriction,1500,1516.6666666666667,1524.3685924525225,1504.1403336573305
johqui1092,1500,1496.6666666666667,1511.6082994997973,1507.9445379392325
Testicular Injury Reserve,1500,1503.3333333333333,1501.035259119189,1489.1320966424953
Clingan On,1500,1510.0,1497.7019257858558,1503.039387800563
kashmoney387,1500,1496.6666666666667,1482.2980742141442,1476.960612199437
