,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50
Ant-ticpating wins,1500,1500.0,1476.6666666666667,1461.7250338335361,1457.0762511208918,1440.9293923382536,1422.9016004928926,1422.680498897376,1409.7123832434727,1390.366667599836,1388.0041420377754,1379.606315935526,1378.7289622389078,1394.1566318235693,1382.1246814601438,1373.4347579290181,1368.6027355043047,1373.2723258888993,1360.0706721224055,1362.0627109780944,1369.000467510252,1363.43560401717,1357.2277947187422,1347.161179683142,1371.209737604273,1363.8984172460766,1418.339050347646,1401.3844607312435,1397.8627292186652,1398.9046023164021,1391.3658783111116,1376.0796427269893,1374.0160758886798,1365.3397715816543,1350.923919961886,1351.8624777537145,1348.6082739665178,1349.543898028812,1365.8948134303816,1356.258030908584,1348.79051402242,1345.1351981004073,1352.333018658436,1340.107930254524,1344.031460770437,1352.467193698487,1348.527046658656,1343.5990359212703,1333.8242581101604,1357.711399863095,1351.1876359264018
Streakbreaker,1500,1500.0,1483.3333333333333,1495.6314075474775,1515.9130836941465,1503.754247059241,1485.075615526516,1466.5734731846387,1486.6765509206982,1468.3552285870526,1486.3091046137583,1494.706930716008,1495.6446812540614,1504.2595207887593,1497.450523380949,1505.2751275167839,1503.3132729891809,1519.330756229,1545.9969036323405,1552.7805883636215,1563.225702045826,1565.4769312361004,1566.3744909272164,1573.4968421333442,1599.2355747659692,1619.070579482805,1571.442347689683,1553.0221609026974,1556.117843892348,1573.5234400494087,1554.68683826236,1536.0718122896226,1516.1817251503644,1529.22208160534,1506.8462626552484,1518.9954846361431,1522.2496884233399,1519.5197059639477,1525.6700453602423,1518.0356867637672,1523.7406842948944,1521.8942286122356,1534.1760774675113,1561.2051301576228,1565.9425084158026,1575.3961436895015,1576.152982329379,1576.228435833,1583.4641192788808,1608.883861010012,1628.8354327771783
Kevin's Burning Bridges,1500,1500.0,1510.0,1524.3685924525225,1529.0173751651669,1516.8729821239822,1526.0338786468014,1542.2706233830218,1540.8023031243613,1549.7636173995797,1567.1470940069999,1547.09231538887,1533.5464430588083,1531.8186747606164,1543.850625124042,1551.9667536339314,1562.960649433494,1559.171704106991,1569.7065829654834,1557.935911110473,1547.4907974282685,1565.0884398435373,1552.6907896219338,1546.3307082828373,1531.7156105132137,1525.6711924398662,1515.4027154639198,1518.4650199004898,1532.0354280834667,1530.9935549857298,1522.0528396910104,1524.766890972131,1539.4863312586606,1541.8314411484228,1550.737986455062,1569.9035201132479,1550.838385945766,1539.080517205841,1537.1618786271429,1546.7986611489405,1553.7721300079972,1563.6531798232832,1561.542637749297,1570.1769362405616,1559.614257077071,1550.1606218033721,1567.3363293101368,1554.6046607348183,1548.6472237136968,1534.5720464640754,1528.3317602630304
ZuPacalypse Now,1500,1500.0,1503.3333333333333,1521.7250338335361,1541.9532926287281,1558.1001514113664,1576.7787829440913,1588.00633274544,1590.0072352736022,1596.3014165435989,1589.1524547830734,1590.482048577813,1588.2480821217716,1596.6173254392781,1619.642491215336,1624.8945869372037,1635.947043816086,1639.735989142589,1613.0698417392484,1611.0778028835596,1610.7979248621207,1600.934163015688,1613.4047471716963,1614.7535495600778,1636.0660297379443,1616.2310250211085,1569.7386150126652,1572.907406804451,1584.2268418146923,1602.249072866434,1609.7877968717246,1628.402822844462,1637.198228261096,1632.6198576805045,1634.4836424731177,1623.1429427481767,1621.0670464800257,1615.31956548563,1620.8904520978829,1643.453605585522,1647.735768681126,1657.2207805758,1659.3313226497862,1632.3022699596747,1628.3787394437618,1625.960514986438,1614.9936752523863,1626.0522579044662,1626.2991347670722,1647.0801017313333,1627.128529964167
French Wembassy,1500,1500.0,1523.3333333333333,1537.7019257858558,1517.4202496391867,1538.3163706990215,1513.083218075394,1501.8556682740452,1516.5907135111102,1524.391231652456,1527.7406247041279,1547.7954033222577,1552.0594827386362,1541.3554401948054,1548.1644376026156,1571.259995605297,1578.9790305685663,1582.1583089091152,1582.6984982316171,1584.2645324166822,1577.3267758845243,1582.968355875099,1589.4947639952375,1591.3141770174395,1570.001696839573,1560.4915614790305,1536.2949368874183,1556.8276688777933,1564.6772551340364,1547.2716589769757,1558.97962175809,1535.0615798990073,1526.2661744823733,1536.9002173079273,1540.1512473462037,1542.0670112614864,1561.1321454289682,1563.6463645926772,1553.123977013793,1560.758335610268,1584.5068248807727,1591.031794071317,1592.4518783701226,1593.3847899617958,1592.8505659257437,1584.4148329976936,1588.9771368799165,1594.5099278229586,1596.6680721278178,1575.8871051635567,1566.4361609241676
Nico’s revenge,1500,1500.0,1490.0,1482.2980742141442,1484.2505126420692,1479.91402841322,1474.352833118268,1493.0732188567517,1491.0723163285895,1483.2717981872436,1465.3179221605378,1440.0534914220193,1442.2874578780606,1426.859788293399,1407.749524688262,1390.96809854924,1375.1715940385714,1375.7508154837853,1357.8153253199314,1363.5955748665178,1363.5014269466878,1362.982720440972,1356.4563123208334,1366.5229273564335,1364.7810178719658,1389.293127925265,1433.575876755159,1430.513572318589,1431.3648524160803,1437.131611417843,1437.2474496143745,1432.4033571719133,1452.8006573245489,1457.3790279051402,1454.1279978668638,1441.978775885969,1418.476823846023,1424.2243048404189,1407.8733894388492,1390.642118869248,1374.4429080909085,1357.4438913031993,1360.0579566590861,1342.6139047639233,1349.5029744614055,1350.8264634148447,1351.740215971307,1346.2074250282649,1355.9822028393748,1355.036502178092,1380.0226744773895
Trusting the Process,1500,1500.0,1483.3333333333333,1468.9647408808107,1472.6285024413755,1476.9649866702248,1471.3695312988857,1465.7331197618619,1478.7012354157653,1466.0980835755204,1478.8956437446736,1488.7074256868052,1489.5847793834234,1481.215536065917,1472.2125615470313,1464.3879574111966,1456.6689224479273,1471.0500531024256,1466.8007865172121,1461.0205369706257,1480.2370959156747,1462.6394535004058,1479.0338483686899,1473.773363001325,1483.2881920986324,1490.5995124568287,1494.3597074740971,1482.4785326924741,1468.9081245094974,1477.2545268667193,1477.1386886701878,1471.3741673082725,1468.8402932627196,1477.516597569745,1460.0960112069497,1472.4353939342664,1481.3598028225942,1480.4241787603,1474.853292148047,1467.9503779763947,1462.2453804452675,1455.720411254723,1470.0127716191525,1465.931701091896,1459.0426313944138,1477.820459064711,1460.6447515579464,1475.7550087519976,1470.4544625849394,1479.9886038149289,1486.5123677516222
Teenage Mutant Ninja Poetls,1500,1500.0,1490.0,1478.964740880811,1490.8679033575047,1503.0267399924103,1521.0545318377713,1504.817787101551,1503.2876079339924,1498.5915552240695,1485.7939950549162,1484.4644012601766,1473.0599238851155,1472.4474957654597,1484.870531901787,1501.651958040809,1498.58207636215,1495.402798021601,1508.6044517880948,1501.8207670568138,1490.2107413471529,1481.1082760013096,1481.8464220980718,1468.154018507515,1458.6391894102076,1464.78512491936,1478.871074951616,1467.2409320874622,1462.4934243587734,1468.061112743983,1486.8977145310316,1502.183950115154,1487.4645098286244,1487.5736905740225,1487.2439546283024,1474.9045719009857,1476.9804681691367,1465.8194604337382,1464.7802199469152,1474.8762368435885,1491.0754476219279,1488.8157545953122,1487.3956702965068,1499.6207587004187,1494.8833804422388,1484.95074488073,1476.9953154597013,1478.9556994488375,1465.0588317084662,1455.5246904784767,1460.7781998734895
Good Night and Good Luka,1500,1500.0,1523.3333333333333,1504.9416328331304,1502.9891944052054,1480.0837108165515,1478.1439761592433,1469.8810339406004,1467.4942082641012,1485.8155305977468,1482.466137546075,1480.7798145624301,1474.3671261505142,1476.094894448706,1495.2051580538432,1504.7031191395083,1507.7730008181672,1493.391870163669,1468.6267478900713,1462.4371839922449,1446.7698544600178,1456.6336163064504,1455.7360566153345,1464.6931701436768,1466.4350796281444,1488.928221051795,1493.356932631077,1510.3115222474794,1498.9920872372381,1493.2253282354754,1475.5744681657404,1471.9505832852697,1461.1973262623635,1462.2873339842874,1484.663152934379,1482.7473890190963,1482.6910768102437,1477.623391141803,1479.5420297205012,1496.7733002901025,1503.5147884170567,1505.7744814436724,1491.482121079243,1466.066512130364,1461.3474768532897,1445.7562918253445,1456.7231315593963,1456.6476780557753,1464.2117860408948,1465.1574867021777,1487.3319019564635
dbyun89,1500,1500.0,1476.6666666666667,1478.964740880811,1466.4789934556434,1450.7171080282706,1456.3125633996096,1447.991167240816,1449.5213464083745,1440.560032133156,1442.9225576952167,1468.1869884337352,1479.5914658087963,1470.9766262740984,1461.3949910089561,1473.81388888935,1462.7614320104676,1460.4391617845079,1464.6884283697214,1474.0149770633338,1489.682306595561,1497.8913218068456,1510.288972028449,1508.9401696400676,1500.2321411579903,1506.2765592313378,1503.7659355388028,1483.2332035484278,1476.51304391541,1468.0721956506598,1448.9207659508445,1454.6852873127598,1449.9802345300927,1449.8710537846946,1440.9645084780554,1440.025950686227,1463.527902726173,1474.6889104615714,1468.5385710652768,1460.2423494894615,1474.2416447853873,1464.7566328907133,1461.3512940598832,1465.4323645871398,1473.8081698516216,1489.3993548795668,1496.1153043805011,1508.8469729558196,1508.6000960932136,1500.8001198036054,1507.0404060046503
