,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24
Ant-ticpating wins,1418.339050347646,1401.3844607312435,1397.8627292186652,1398.9046023164021,1391.3658783111116,1376.0796427269893,1374.0160758886798,1365.3397715816543,1350.923919961886,1351.8624777537145,1348.6082739665178,1349.543898028812,1365.8948134303816,1356.258030908584,1348.79051402242,1345.1351981004073,1352.333018658436,1340.107930254524,1344.031460770437,1352.467193698487,1348.527046658656,1343.5990359212703,1333.8242581101604,1357.711399863095,1351.1876359264018
Streakbreaker,1571.442347689683,1553.0221609026974,1556.117843892348,1573.5234400494087,1554.68683826236,1536.0718122896226,1516.1817251503644,1529.22208160534,1506.8462626552484,1518.9954846361431,1522.2496884233399,1519.5197059639477,1525.6700453602423,1518.0356867637672,1523.7406842948944,1521.8942286122356,1534.1760774675113,1561.2051301576228,1565.9425084158026,1575.3961436895015,1576.152982329379,1576.228435833,1583.4641192788808,1608.883861010012,1628.8354327771783
Kevin's Burning Bridges,1515.4027154639198,1518.4650199004898,1532.0354280834667,1530.9935549857298,1522.0528396910104,1524.766890972131,1539.4863312586606,1541.8314411484228,1550.737986455062,1569.9035201132479,1550.838385945766,1539.080517205841,1537.1618786271429,1546.7986611489405,1553.7721300079972,1563.6531798232832,1561.542637749297,1570.1769362405616,1559.614257077071,1550.1606218033721,1567.3363293101368,1554.6046607348183,1548.6472237136968,1534.5720464640754,1528.3317602630304
ZuPacalypse Now,1569.7386150126652,1572.907406804451,1584.2268418146923,1602.249072866434,1609.7877968717246,1628.402822844462,1637.198228261096,1632.6198576805045,1634.4836424731177,1623.1429427481767,1621.0670464800257,1615.31956548563,1620.8904520978829,1643.453605585522,1647.735768681126,1657.2207805758,1659.3313226497862,1632.3022699596747,1628.3787394437618,1625.960514986438,1614.9936752523863,1626.0522579044662,1626.2991347670722,1647.0801017313333,1627.128529964167
French Wembassy,1536.2949368874183,1556.8276688777933,1564.6772551340364,1547.2716589769757,1558.97962175809,1535.0615798990073,1526.2661744823733,1536.9002173079273,1540.1512473462037,1542.0670112614864,1561.1321454289682,1563.6463645926772,1553.123977013793,1560.758335610268,1584.5068248807727,1591.031794071317,1592.4518783701226,1593.3847899617958,1592.8505659257437,1584.4148329976936,1588.9771368799165,1594.5099278229586,1596.6680721278178,1575.8871051635567,1566.4361609241676
Nico’s revenge,1433.575876755159,1430.513572318589,1431.3648524160803,1437.131611417843,1437.2474496143745,1432.4033571719133,1452.8006573245489,1457.3790279051402,1454.1279978668638,1441.978775885969,1418.476823846023,1424.2243048404189,1407.8733894388492,1390.642118869248,1374.4429080909085,1357.4438913031993,1360.0579566590861,1342.6139047639233,1349.5029744614055,1350.8264634148447,1351.740215971307,1346.2074250282649,1355.9822028393748,1355.036502178092,1380.0226744773895
Trusting the Process,1494.3597074740971,1482.4785326924741,1468.9081245094974,1477.2545268667193,1477.1386886701878,1471.3741673082725,1468.8402932627196,1477.516597569745,1460.0960112069497,1472.4353939342664,1481.3598028225942,1480.4241787603,1474.853292148047,1467.9503779763947,1462.2453804452675,1455.720411254723,1470.0127716191525,1465.931701091896,1459.0426313944138,1477.820459064711,1460.6447515579464,1475.7550087519976,1470.4544625849394,1479.9886038149289,1486.5123677516222
Teenage Mutant Ninja Poetls,1478.871074951616,1467.2409320874622,1462.4934243587734,1468.061112743983,1486.8977145310316,1502.183950115154,1487.4645098286244,1487.5736905740225,1487.2439546283024,1474.9045719009857,1476.9804681691367,1465.8194604337382,1464.7802199469152,1474.8762368435885,1491.0754476219279,1488.8157545953122,1487.3956702965068,1499.6207587004187,1494.8833804422388,1484.95074488073,1476.9953154597013,1478.9556994488375,1465.0588317084662,1455.5246904784767,1460.7781998734895
Good Night and Good Luka,1493.356932631077,1510.3115222474794,1498.9920872372381,1493.2253282354754,1475.5744681657404,1471.9505832852697,1461.1973262623635,1462.2873339842874,1484.663152934379,1482.7473890190963,1482.6910768102437,1477.623391141803,1479.5420297205012,1496.7733002901025,1503.5147884170567,1505.7744814436724,1491.482121079243,1466.066512130364,1461.3474768532897,1445.7562918253445,1456.7231315593963,1456.6476780557753,1464.2117860408948,1465.1574867021777,1487.3319019564635
dbyun89,1503.7659355388028,1483.2332035484278,1476.51304391541,1468.0721956506598,1448.9207659508445,1454.6852873127598,1449.9802345300927,1449.8710537846946,1440.9645084780554,1440.025950686227,1463.527902726173,1474.6889104615714,1468.5385710652768,1460.2423494894615,1474.2416447853873,1464.7566328907133,1461.3512940598832,1465.4323645871398,1473.8081698516216,1489.3993548795668,1496.1153043805011,1508.8469729558196,1508.6000960932136,1500.8001198036054,1507.0404060046503
